year,submitted,accepted,percent
1995,37,18,49
1996,34,19,56
1997,27,16,59
1999,47,19,40
2001,63,22,35
2002,78,23,30
2003,90,29,32
2004,89,27,30
2005,114,31,27
2006,104,24,23
2007,116,27,23
2008,107,28,26
2009,141,37,26
2010,135,35,26
