year,submitted,accepted,percent
1999,64,30,47
2000,66,27,41
2001,68,33,49
2002,80,31,39
2003,62,30,48
2004,82,39,48
2005,102,36,35
2006,98,43,44
2007,93,35,38
2008,143,45,31
2009,143,41,29
2010,164,48,
