year,submitted,accepted,percent
1994,91,41,45
1995,102,41,40
1996,101,43,43
1997,170,44,26
1998,118,50,42
1999,129,47,36
2000,151,52,34
2001,152,51,34
2002,172,58,34
2003,192,63,33
2004,167,46,28
2005,268,88,33
2006,228,63,28
2007,216,56,26
2008,197,50,25
2009,202,54,27
